,Network,Average Compound Score,Average Positive Score,Average Neutral Score,Average Negative Score
0,@CO2_Dispenser,0.095,0.093,0.0,0.907
1,@FoxNews,0.03,0.075,0.057,0.868
2,@NB_ED4ever,0.047,0.026,0.0,0.974
3,@peter_pan_daz,0.016,0.008,0.0,0.992
