Country,Happiness.Score,Freedom,Trust..Government.Corruption,2007 Prison Rate,2008 Prison Rate,2009 Prison Rate,2010 Prison Rate,2011 Prison Rate,2012 Prison Rate,2013 Prison Rate,2014 Prison Rate,2015 Prison Rate,2016 Prison Rate,Prison Rate Average
Gabon,4.46500015258789,0.31232857704162603,0.0760467872023582,,,,,,,,,174.8,,174.8
Georgia,4.28599977493286,0.309410035610199,0.25166663527488703,417.0,429.9,495.3,559.7,578.1,471.0,224.7,259.8,245.9,236.8,391.8
Germany,6.9510002136230495,0.562511384487152,0.276731938123703,92.4,91.0,89.3,87.6,85.9,84.5,81.5,77.6,77.1,78.5,84.5
Ghana,4.11999988555908,0.423026293516159,0.0253363698720932,,60.6,,55.1,,52.4,53.2,54.1,,50.9,54.4
Greece,5.2270002365112305,0.0957312509417534,0.043289776891470004,102.3,102.8,99.3,107.9,109.2,109.6,112.1,104.7,86.6,85.4,102.0
Guatemala,6.4539999961853,0.5313106179237371,0.0772232785820961,,58.2,,76.2,,98.3,104.7,115.7,,,90.6
Guinea,3.50699996948242,0.348587512969971,0.110937617719173,25.1,26.9,,35.2,,23.0,,26.3,,23.3,26.6
Haiti,3.6029999256133998,0.0303698573261499,0.0998721495270729,66.7,84.5,,53.3,,84.8,95.2,98.9,103.1,,83.8
Honduras,5.1810002326965305,0.348079860210419,0.0733454525470734,,144.7,,143.6,143.8,142.2,152.3,168.9,180.3,192.0,158.5
Hungary,5.32399988174438,0.17586351931095098,0.0366369374096394,143.2,147.6,155.0,164.5,173.9,174.1,181.3,182.3,178.3,181.1,168.1
Iceland,7.50400018692017,0.6271626353263849,0.15352655947208402,37.7,45.0,46.8,52.1,46.4,47.0,46.5,46.9,,37.3,45.1
India,4.31500005722046,0.469987004995346,0.0922268852591515,31.9,32.1,31.0,30.0,29.9,30.5,32.2,32.3,32.1,,31.3
Indonesia,5.26200008392334,0.443323463201523,0.0153171354904771,,58.1,,48.6,,62.9,63.5,62.7,67.2,77.6,62.9
Ireland,6.9770002365112305,0.5731103420257571,0.29838815331459007,74.0,77.6,84.7,93.3,90.4,91.6,87.3,80.6,79.9,78.4,83.8
Israel,7.212999820709231,0.40598860383033797,0.0852421000599861,317.1,308.6,,271.9,250.6,263.6,237.9,261.7,,,273.1
Italy,5.96400022506714,0.256450712680817,0.0280280914157629,83.8,99.6,110.0,116.0,114.3,112.3,107.0,91.9,89.8,,102.7
Jamaica,5.31099987030029,0.474307239055634,0.0552677810192108,169.7,,184.1,,157.5,153.6,144.2,140.9,134.2,131.9,152.0
Japan,5.92000007629395,0.505625545978546,0.163760736584663,62.1,59.8,58.5,56.8,54.4,52.2,49.1,47.2,45.7,43.8,53.0
Jordan,5.33599996566772,0.418421149253845,0.11980327218771002,107.1,109.0,105.6,117.4,82.7,96.5,95.1,114.5,125.4,,105.9
Kazakhstan,5.8189997673034695,0.43745428323745705,0.11928288638591802,,301.7,312.0,336.2,296.7,267.9,244.4,247.1,237.3,,280.4
Kenya,4.55299997329712,0.45276376605033897,0.0646413192152977,,125.4,119.6,116.5,120.2,102.0,119.2,116.3,114.8,100.0,114.9
Kuwait,6.10500001907349,0.49633759260177596,0.21515955030918102,,,143.5,139.4,128.5,,80.6,84.6,101.6,134.7,116.1
Kyrgyzstan,5.0040001869201705,0.454943388700485,0.0394391790032387,277.6,182.6,,183.0,,175.7,175.9,165.9,173.0,173.5,188.4
Latvia,5.849999904632571,0.32570791244506797,0.0738427266478539,297.8,301.5,328.9,320.0,313.5,296.0,251.7,235.4,221.3,,285.1
Lebanon,5.22499990463257,0.28851598501205394,0.037513829767704,143.6,114.0,117.2,116.7,112.7,102.9,102.2,107.3,108.0,,113.8
Lesotho,3.80800008773804,0.390661299228668,0.119094640016556,143.9,129.7,126.5,122.4,,122.7,,96.6,,,123.6
Liberia,3.5329999923706095,0.33288118243217496,0.0389482490718365,29.1,,37.3,,39.3,,42.6,,46.8,,39.0
Libya,5.525000095367429,0.465733230113983,0.0926102101802826,221.4,,,214.6,,51.4,86.0,99.7,,,134.6
Lithuania,5.90199995040894,0.234231784939766,0.0118656428530812,241.3,248.9,273.1,292.6,322.1,320.3,309.0,291.6,250.9,233.7,278.4
Luxembourg,6.86299991607666,0.59662789106369,0.31883442401886,156.1,157.1,141.5,134.1,122.5,125.1,120.4,112.5,121.9,126.1,131.7
Madagascar,3.64400005340576,0.18919676542282102,0.0672319754958153,,82.8,,86.8,85.4,85.7,86.3,86.3,85.0,,85.5
Malawi,3.97000002861023,0.466914653778076,0.0727116540074348,78.2,77.1,,77.0,,76.0,,71.2,69.0,,74.8
Malaysia,6.08400011062622,0.40226498246192893,0.0656007081270218,188.9,145.5,,136.5,,125.5,131.8,158.7,,165.6,150.4
Mali,4.19000005722046,0.306613743305206,0.10497024655342098,,,45.9,,37.4,,30.1,30.7,,,36.0
Malta,6.52699995040894,0.588767051696777,0.153066068887711,128.7,160.6,119.3,140.3,139.6,139.0,145.3,136.5,132.1,,137.9
Mauritania,4.29199981689453,0.0960980430245399,0.136957004666328,,,,47.1,,41.8,,43.5,,,44.1
Mauritius,5.62900018692017,0.491247326135635,0.0421815551817417,184.1,177.5,191.6,196.2,216.3,220.2,212.1,177.6,,177.2,194.8
Mexico,6.57800006866455,0.412730008363724,0.132774114608765,192.0,,161.6,160.3,179.5,171.5,178.2,183.6,175.9,149.2,172.4
Mongolia,4.95499992370605,0.39414396882057207,0.0329022891819477,305.7,308.1,244.8,273.6,290.1,289.4,281.2,263.0,183.8,188.3,262.8
Montenegro,5.23699998855591,0.194989055395126,0.0881741940975189,154.5,195.7,240.7,233.4,212.3,212.5,169.7,178.9,180.0,178.7,195.6
Morocco,5.2350001335144,0.408158332109451,0.0877631828188896,175.0,187.4,179.9,200.2,,212.0,212.9,218.4,212.7,,199.8
Mozambique,4.550000190734861,0.48079109191894503,0.17943638563156103,80.5,122.1,149.8,63.0,65.4,,59.3,56.7,57.0,,81.7
Myanmar,4.54500007629395,0.514492034912109,0.188816204667091,132.3,,120.6,,130.6,,116.6,,,150.6,130.1
Namibia,4.57399988174438,0.520303547382355,0.0931469723582268,195.4,,,195.6,,,173.1,,146.8,,177.7
Nepal,4.961999893188481,0.44030594825744607,0.0729755461215973,,31.7,,39.7,,54.0,,59.4,,,46.2
Netherlands,7.3769998550415,0.5853844881057739,0.282661825418472,91.8,88.2,86.4,86.1,83.5,80.2,75.5,70.7,64.1,,80.7
New Zealand,7.31400012969971,0.6140621304512021,0.38281670212745705,178.0,183.7,197.7,193.0,191.6,184.1,182.0,189.2,197.7,213.3,191.0
Nicaragua,6.07100009918213,0.447551846504211,0.130687981843948,120.7,105.9,102.5,118.3,,166.7,,175.7,,,131.6
Niger,4.02799987792969,0.36365869641304,0.13857294619083402,,43.8,,32.5,,38.9,,,42.8,,39.5
Nigeria,5.07399988174438,0.394952565431595,0.0261215660721064,26.9,27.4,27.6,29.7,29.9,30.8,32.1,32.1,,33.9,30.0
Norway,7.537000179290769,0.635422587394714,0.31596383452415505,73.0,72.9,69.2,72.9,78.1,80.8,76.2,79.8,78.9,,75.8
Pakistan,5.26900005340576,0.23521526157856,0.12434806674718901,56.1,,48.7,44.3,44.8,42.1,,43.0,42.3,,45.9
Panama,6.4520001411438,0.550026834011078,0.070983923971653,349.3,290.6,303.9,344.3,356.2,383.8,376.9,381.0,448.7,,359.4
Paraguay,5.493000030517581,0.473507791757584,0.091065913438797,97.7,96.3,108.2,99.8,113.8,128.4,142.8,165.5,194.2,198.5,134.5
Peru,5.71500015258789,0.45000287890434293,0.0470490865409374,140.3,151.1,153.1,154.8,165.3,203.6,221.2,232.3,246.2,258.2,192.6
Philippines,5.42999982833862,0.585214674472809,0.0993318930268288,,104.6,,101.8,105.6,110.1,112.5,119.5,133.5,,112.5
Poland,5.97300004959106,0.520342111587524,0.0593078061938286,233.9,221.7,223.7,214.9,216.2,223.0,209.3,204.6,187.6,187.2,212.2
Portugal,5.19500017166138,0.498465299606323,0.0158694516867399,109.0,101.5,105.9,111.1,121.9,131.1,138.1,135.6,138.0,134.1,122.6
Qatar,6.375,0.604130983352661,0.43929925560951205,37.7,39.7,,,58.9,,51.1,,,,46.8
Romania,5.824999809265139,0.457003742456436,0.0043879006989300294,139.7,125.9,129.6,138.2,151.3,157.7,166.6,151.0,142.5,138.8,144.1
Rwanda,3.47099995613098,0.5818438529968261,0.455220013856888,,,,536.8,,515.5,,,466.7,,506.3
Saudi Arabia,6.343999862670901,0.449750572443008,0.27343225479126004,,,167.3,,173.5,,157.0,,,,165.9
Senegal,4.53499984741211,0.37792226672172496,0.11546044796705199,55.7,56.5,60.2,55.6,,61.5,,59.3,,60.4,58.5
Serbia,5.39499998092651,0.20871552824974102,0.0409037806093693,99.0,106.6,121.1,124.2,123.1,114.2,112.5,115.8,113.7,121.0,115.1
Sierra Leone,4.70900011062622,0.318697690963745,0.0710951760411263,32.9,30.6,,34.6,,40.8,47.4,50.9,48.2,,40.8
Singapore,6.57200002670288,0.549840569496155,0.46430778503417997,262.2,257.7,270.4,268.1,254.3,246.2,248.7,234.8,228.4,221.8,249.3
Slovakia,6.09800004959106,0.295817464590073,0.0242108516395092,147.9,151.3,172.5,185.6,194.6,200.3,179.8,184.4,182.2,183.7,178.2
Slovenia,5.75799989700317,0.572575807571411,0.0451289787888527,66.4,65.1,67.1,66.1,62.0,66.8,65.8,73.5,67.4,63.0,66.3
South Africa,4.8289999961853,0.479246735572815,0.0725094974040985,,325.9,,316.6,304.7,298.4,290.8,283.6,,,303.3
South Sudan,3.5910000801086404,0.147062435746193,0.116793513298035,,,,,,,,,54.7,,54.7
Spain,6.40299987792969,0.408781230449677,0.0709140971302986,147.8,159.9,163.7,158.0,150.2,146.4,143.0,139.8,132.8,128.4,147.0
Sri Lanka,4.44000005722046,0.561213254928589,0.0736539661884308,133.0,143.3,135.2,128.8,114.3,113.7,131.5,95.9,92.0,,120.9
Sudan,4.138999938964839,0.0149958552792668,0.089847519993782,,,56.9,,56.9,,51.8,,,,55.2
Sweden,7.28399991989136,0.612924098968506,0.384398728609085,76.1,76.6,78.2,72.9,70.5,66.0,59.5,58.8,56.8,60.1,67.5
Switzerland,7.49399995803833,0.620070576667786,0.36700728535652205,69.8,69.4,72.4,73.6,70.9,76.0,81.8,79.2,78.1,78.0,74.9
Tajikistan,5.04099988937378,0.47156670689582797,0.14637714624404902,,100.6,,121.9,,,,,,,111.2
Thailand,6.4239997863769505,0.580200731754303,0.0316127352416515,,278.1,318.6,313.7,332.4,346.2,410.7,464.8,471.1,472.8,378.7
Togo,3.4949998855590803,0.38042613863945,0.0956650152802467,,,,63.3,,61.4,,62.2,59.6,,61.6
Trinidad and Tobago,6.1680002212524405,0.518630743026733,0.00896481610834599,274.9,293.7,281.4,277.9,321.2,276.5,268.1,249.5,547.5,,310.1
Tunisia,4.80499982833862,0.289680689573288,0.0867231488227844,,,250.1,,195.1,,227.0,,208.9,,220.3
Turkey,5.5,0.300740599632263,0.0996715798974037,130.4,146.8,162.5,166.2,174.7,183.2,190.1,206.0,226.5,,176.3
Turkmenistan,5.82200002670288,0.41827192902565,0.25927034020423895,,,,520.9,,,569.6,,,,545.2
Uganda,4.08099985122681,0.443185955286026,0.057069718837738,62.9,90.9,95.1,92.1,91.2,97.0,105.4,109.0,,,93.0
Ukraine,4.09600019454956,0.12297477573156401,0.0230294708162546,322.7,316.0,321.2,336.4,338.0,,326.1,,,136.7,299.6
United Arab Emirates,6.6479997634887695,0.60834527015686,0.324489563703537,,,,,,110.4,110.6,108.3,,,109.8
United States,6.993000030517581,0.505740523338318,0.135638788342476,764.0,761.5,750.7,738.4,724.2,712.1,704.4,700.3,679.2,671.1,720.6
Uruguay,6.4539999961853,0.5793922543525699,0.17806187272071802,,228.7,,257.8,267.9,277.3,277.2,279.0,291.3,,268.5
Uzbekistan,5.97100019454956,0.6582486629486078,0.246528223156929,124.6,,149.2,,,142.2,,143.9,,,140.0
Yemen,3.59299993515015,0.24946372210979503,0.0567674227058887,27.3,29.4,30.0,52.6,42.8,,54.7,,,,39.5
Zambia,4.513999938964839,0.461603492498398,0.0782135501503944,,114.7,115.5,120.3,,115.6,112.3,109.1,115.3,150.5,119.2
Zimbabwe,3.875,0.336384207010269,0.0953753814101219,123.2,103.5,,94.9,,114.9,112.3,113.4,119.5,,111.7
