Africa,Southern Africa,Botswana,UN-CTS/WPB-ICPR,5890,10911,9778,9788,8912,8865,8706,7005,4712,4241,3826,4131,3960,,,326.4,596.4,526.9,519.5,465.5,455.5,439.7,347.7,229.7,203.0,179.8,190.5,179.3,
Americas,South America,Brazil,UN-CTS/WPB-ICPR,284989,336358,361402,401236,422590,451219,491482,513954,534605,570318,606208,607731,698618,726712,,156.2,182.1,193.3,212.3,221.2,233.8,252.2,261.2,269.1,284.4,299.5,297.6,339.2,350.2
Americas,Caribbean,British Virgin Islands,WPB-ICPR,,,105,,,117,,117,,138,,119,,,,,,453.2,,,457.0,,429.8,,484.1,,402.2,,
Asia,South-Eastern Asia,Brunei Darussalam,UN-CTS/WPB-ICPR,457,443,492,522,486,453,,379,,485,,594,565,,,129.3,123.2,134.7,141.0,129.6,119.4,,97.5,,121.3,,144.3,135.3,
Europe,Eastern Europe,Bulgaria,UN-CTS,10066,10871,11436,11058,10271,9408,9006,9379,9885,9493,8834,7870,7408,7345,,129.0,140.4,148.8,145.0,135.7,125.3,120.8,126.7,134.4,129.9,121.6,109.0,103.2,103.0
Africa,Western Africa,Burkina Faso,UN-CTS/WPB-ICPR,,2799,3315,3108,4207,4801,,5198,5039,5035,,6827,7544,,,,21.5,24.7,22.5,29.5,32.7,,33.3,31.3,30.4,,38.8,41.7,
Africa,Eastern Africa,Burundi,UN-CTS/WPB-ICPR,7913,7526,7167,8277,8343,9927,10816,9823,10432,6369,7784,7565,9228,10127,,113.8,104.8,96.5,107.8,105.1,120.9,127.4,112.0,115.4,68.3,81.1,76.5,90.5,96.0
Africa,Western Africa,Cabo Verde,WPB-ICPR,,,,,,,1300,,,1348,1434,,,1569,,,,,,,,261.6,,,262.3,275.7,,,290.7
Asia,South-Eastern Asia,Cambodia,WPB-ICPR,,6778,8160,10338,10337,11688,,14043,,15397,,15182,,,,,51.9,61.5,76.7,75.6,84.2,,98.1,,104.2,,99.4,,
Africa,Middle Africa,Cameroon,UN-CTS/WPB-ICPR,20000,,22734,,,,23368,23766,22812,22891,25314,25909,26702,,,121.1,,130.5,,,,120.3,119.0,111.2,108.6,116.9,116.5,116.9,
Americas,Northern America,Canada,UN-CTS,34153,33849,35032,37452,38419,39050,38804,39489,40229,40718,37864,40663,41145,37864,,108.0,105.9,108.5,114.7,116.4,116.9,114.8,115.6,116.5,116.7,107.4,114.2,114.5,104.4
Americas,Caribbean,Cayman Islands,WPB-ICPR,,188,,210,,203,,212,,185,,186,,,,,397.5,,419.7,,383.6,,381.9,,321.6,,314.3,,
Africa,Middle Africa,Central African Republic,WPB-ICPR,,,1000,,1233,,2145,,845,,,,764,,,,,24.2,,28.8,,48.7,,18.9,,,,16.8,
Africa,Middle Africa,Chad,WPB-ICPR,,,3416,,,,,4775,4831,,,,,,,,,33.9,,,,,40.2,39.3,,,,,
