,Network,Average Compound Score,Average Positive Score,Average Neutral Score,Average Negative Score
0,@CO2_Dispenser,0.095,0.093,0.0,0.907
1,@NB_ED4ever,0.048,0.027,0.0,0.973
2,@peter_pan_daz,0.0,0.0,0.0,1.0
