Americas,South America,Bolivia (Plurinational State of),UN-CTS/WPB-ICPR,"6,768","6,495","7,310","7,358","7,588","7,433","8,087","8,930","11,195","14,272","14,004","14,220","13,672","16,038",,76.8,72.4,80.1,79.3,80.4,77.4,82.9,90.0,111.1,139.4,134.7,134.6,127.5,147.3
Europe,Southern Europe,Bosnia and Herzegovina,UN-CTS/WPB-ICPR,,"2,405",,"2,493",,"2,660",,"2,743","2,757","2,928","2,898","2,825","2,730",,,,63.6,,66.0,,70.7,,73.7,74.7,80.3,80.4,79.2,77.2,
Africa,Southern Africa,Botswana,UN-CTS/WPB-ICPR,"5,890","10,911","9,778","9,788","8,912","8,865","8,706","7,005","4,712","4,241","3,826","4,131","3,960",,,326.4,596.4,526.9,519.5,465.5,455.5,439.7,347.7,229.7,203.0,179.8,190.5,179.3,
Americas,South America,Brazil,UN-CTS/WPB-ICPR,"284,989","336,358","361,402","401,236","422,590","451,219","491,482","513,954","534,605","570,318","606,208","607,731","698,618","726,712",,156.2,182.1,193.3,212.3,221.2,233.8,252.2,261.2,269.1,284.4,299.5,297.6,339.2,350.2
Americas,Caribbean,British Virgin Islands,WPB-ICPR,,,105,,,117,,117,,138,,119,,,,,,453.2,,,457.0,,429.8,,484.1,,402.2,,
Asia,South-Eastern Asia,Brunei Darussalam,UN-CTS/WPB-ICPR,457,443,492,522,486,453,,379,,485,,594,565,,,129.3,123.2,134.7,141.0,129.6,119.4,,97.5,,121.3,,144.3,135.3,
Europe,Eastern Europe,Bulgaria,UN-CTS,"10,066","10,871","11,436","11,058","10,271","9,408","9,006","9,379","9,885","9,493","8,834","7,870","7,408","7,345",,129.0,140.4,148.8,145.0,135.7,125.3,120.8,126.7,134.4,129.9,121.6,109.0,103.2,103.0
Africa,Western Africa,Burkina Faso,UN-CTS/WPB-ICPR,,"2,799","3,315","3,108","4,207","4,801",,"5,198","5,039","5,035",,"6,827","7,544",,,,21.5,24.7,22.5,29.5,32.7,,33.3,31.3,30.4,,38.8,41.7,
Africa,Eastern Africa,Burundi,UN-CTS/WPB-ICPR,"7,913","7,526","7,167","8,277","8,343","9,927","10,816","9,823","10,432","6,369","7,784","7,565","9,228","10,127",,113.8,104.8,96.5,107.8,105.1,120.9,127.4,112.0,115.4,68.3,81.1,76.5,90.5,96.0
Africa,Western Africa,Cabo Verde,WPB-ICPR,,,,,,,"1,300",,,"1,348","1,434",,,"1,569",,,,,,,,261.6,,,262.3,275.7,,,290.7
